SKU,Name,Brand,Category,Price,Discount,Image URL
240401677,Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA001NVN (Ultra 5-125H) (Xám),Lenovo,Laptop - Máy tính xách tay,20690000,1300000,https://lh3.googleusercontent.com/K5Il6HilkFfGn9uH_JZI2miPyK_zgT3r9birYn-bCDcnofsTL934q38-lfwyXrPNfej-ByCnvYefwUtD88T4eSYMXMqmrCKSlQ
240200161,Máy tính xách tay/ Laptop Lenovo LOQ 15IAX9 - 83GS000RVN (i5-12450HX) (Xám),Lenovo,Laptop - Máy tính xách tay,24990000,2000000,https://lh3.googleusercontent.com/15W8rkD3QOylIz-0fEsbMBqQDrlh-b-KKqRC_DSynGVdzR-CFdgkzWLR-KlBetdIhYYtn64vr4c6shETIxU2CqGorZG3l-QP
240300076,Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 3 15IAH8 - 83ER000FVN (i5-12450H) (Xám),Lenovo,Laptop - Máy tính xách tay,15690000,1300000,https://lh3.googleusercontent.com/j8CtacMEtEqazeOVU6tJnduohMyQFxxMd3K8GhOiE186CNKlei-HWumyL5xsbU0yqvVRUHoU9uq14M9E5y_CCW2nDy4SuMc
221000517,Máy tính xách tay/ Laptop Lenovo IdeaPad 3 14IAU7-82RJ000HVN (i3-1215U) (Xám),Lenovo,Laptop - Máy tính xách tay,9490000,400000,https://lh3.googleusercontent.com/KUezmE_vLrQMrC6ZA6fzliVsotKnUP86pDFcfZN_2fLtAo7KKzBqGHv41alIaKOTkwj8qQgkXwUG6JKxP_FPXr31KsHEbGue9w
240201287,Máy tính xách tay/ Laptop Lenovo Legion 5 16IRX9 - 83DG004YVN (i7-14650HX) (Xám),Lenovo,Laptop - Máy tính xách tay,40490000,3500000,https://lh3.googleusercontent.com/34Y6Fva5dGDPAHMNiR0kohDcmh78JTN9gUUUtaUw-GC6b1eATjaFiWioPgfZ6Ha8ubhiYd0EulwnaPn9ypk4vuCu4IADktI
240100232,"Màn hình LCD Lenovo 27"" L27i-40 - 67ABKAC4VN (1920 x 1080/ IPS/ 100Hz/ 4ms)",Lenovo,Thiết bị ngoại vi (Peripheral),3590000,0,https://lh3.googleusercontent.com/C6iIsmtxAAULFkq1aatfxPAzxDkL19IcYEnonR4CnroQighvHDDqOH5pZL0nTVupqed9ADdji5EYDHcECu6ev1MIRbjNK4Cftg
240100231,"Màn hình LCD Lenovo 23.8"" D24-40 - 67A2KAC6VN (1920 x 1080/ VA/ 75Hz/ 4ms)",Lenovo,Thiết bị ngoại vi (Peripheral),1990000,500000,https://lh3.googleusercontent.com/ir46g68iyjRjIPuCiYRRF7YgrmKcKw8Edt4uJsgR4Y3w4J2wCW9lWA2A2g4Eu1-y3Zq7vZlpd0L2vnCdfziXBIf1lyK42cay
240502377,Máy tính xách tay/ Laptop Lenovo LOQ 15IAX9 - 83GS004BVN (i5-12450HX) (Xám),Lenovo,Laptop - Máy tính xách tay,23290000,1200000,https://lh3.googleusercontent.com/_1Xv351keXoYP0N9GN_wKX2tOg7sFWuDI5nsNnrHLqLauGeWRAgm6D94BQDdxUNtQE_aDixLPPRUgv3UuuDEz4uPZYCz9vw
240403798,Máy tính xách tay/ Laptop Lenovo Ideapad Slim 5 16IMH9 - 83DC001RVN (Core Ultra 5-125H) (Xám),Lenovo,Laptop - Máy tính xách tay,22590000,1100000,https://lh3.googleusercontent.com/1KX3BjW-Gxee5JBO4JqZB-Px6ldzLhVRLXwsiuZPVqzuJJY-K6vBOz-j8FR0f3xr_a6JmINP7dgIFf_JLcLEyEdZ0I9X3ZbG
240403799,Máy tính xách tay/ Laptop Lenovo Ideapad Slim 5 16IMH9 - 83DC001SVN (Core Ultra 7-155H) (Xám),Lenovo,Laptop - Máy tính xách tay,27690000,0,https://lh3.googleusercontent.com/FbEFZKd_puiUayT6QZ_4WzF6onUV3oOYSQ1TkexV0DdLjDHbescLz4kx5M44RFnR5h6h_QiWh2LZk_76huVpCa6_vyGNXAZT
240302748,Máy tính xách tay/ Laptop Lenovo Legion 5 16IRX9 - 83DG0051VN (i7-14650HX) (Xám),Lenovo,Laptop - Máy tính xách tay,42490000,2500000,https://lh3.googleusercontent.com/RQmcqLOsUnNij5Oixd0CasDgGEbJr3t-vX-MpVGxfzd8R4NrwO1XJIvoRWMa09RyVBG3rQxMBTg4FpMhIfXofT5xhRI1-C6w
240300666,Máy tính bảng Lenovo Tab M11 (4GB/64GB) (Luna Grey) (ZADB0134VN),Lenovo,Thiết bị giải trí và kỹ thuật số,5690000,0,https://lh3.googleusercontent.com/ZwpJFTiYHPSClrvzxbzGHylhQeGBuXTrXTDmnNBSjnRAKyNCr-huIv4AoYfQoOwNfqPXyhUMvqvHpMoHeGl1k1UJ8VO0lxE
240201291,Máy tính xách tay/ Laptop Lenovo LOQ 15IAX9 - 83GS001RVN (i5-12450HX) (Xám),Lenovo,Laptop - Máy tính xách tay,20490000,3500000,https://lh3.googleusercontent.com/7ESq1uEj1T5bE4kJz636XnVvAKJibu5zsrTRg2WoNhwGUZEMpDSId-LukJv4VpukIJYfZb5JFGFv8cmt8RaP5GGwS6lj0Mlzyg
240502290,Máy chơi game Lenovo Legion Go 8APU1  8.8 AMD Ryzen Z1 Extreme 16GB/ 512GB (83E1004KVN),Lenovo,Thiết bị giải trí và kỹ thuật số,22990000,0,https://lh3.googleusercontent.com/_kCZo5bP6ALU7pzhSz-gAy83ZQgkxxkfQnF9tQOpNgY9mQdXuK4MtFsdTSpoQzbTrJ_zAWvrqtXHgb1GeaAC6gjOd2-aMVvx5A
230704076,Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IAH8 - 83BF002NVN (i5-12450H) (Xám),Lenovo,Laptop - Máy tính xách tay,15490000,2000000,https://lh3.googleusercontent.com/cWdWI-s8xyw0dOKn7jyart8ppq4TmGKz_dOYe-CB0RxzUp6t9cKkOqF3mwNsVoBw_vBk4L2AAxUNLLowsNYrITPIvW6s8Tq-qg
240201292,Máy tính xách tay/ Laptop Lenovo LOQ 15IAX9 - 83GS000FVN (i5-12450HX) (Xám),Lenovo,Laptop - Máy tính xách tay,17490000,3000000,https://lh3.googleusercontent.com/72ugzar3_-MIAP3A34UPzNbLkvJVxIbwVVFWcx3RhYHNespLc6RpRYK0MDVUmdyOTbckeSewkcxZ6e3Bs6VxSP8owmvXILPo
240300072,Máy tính xách tay/ Laptop Yoga Slim 7 14IMH9 - 83CV001VVN (Ultra 7 155H) (Xám),Lenovo,Laptop - Máy tính xách tay,30490000,1500000,https://lh3.googleusercontent.com/VK0-XgfONnCuGrGNGR19EAYhZl5wppxvRm2QkeNr1dNnxtPQZXamU9fEo5NTUx__3kr58GadqwMlqUCdsldaqsbgs0Aq4MyI
240201294,Máy tính xách tay/ Laptop Lenovo Yoga 9 2in1 14IMH9 - 83AC000SVN (Ultra 7 155H) (Xanh),Lenovo,Laptop - Máy tính xách tay,44090000,3900000,https://lh3.googleusercontent.com/YUaBAkt6I5M6jtYLgWGoBu6EUtZKCbrusjpsmoEmB7aHiBORr8zleGuC3J-Y2Hd2Kz1DJGFku86TNawiqWd-QlU-Mw3Jo5Lu8Q
240302543,Máy tính xách tay/ Laptop Lenovo LOQ 15IRX9 - 83DV00ERVN ( i7-13650HX) (Xám),Lenovo,Laptop - Máy tính xách tay,31690000,3300000,https://lh3.googleusercontent.com/ZMnmwUvw40yQ8ZukYBrEB5vsgArcnIQtBfEE6f7BBvAWTVk3bnqPbj5hDTD9vDzwLaijWtLHlk_dnihAelT8dQEvF3vbdPqi
240301719,Máy tính xách tay/ Laptop Lenovo ThinkBook 14 G6 IRL - 21KG00BUVN (i7-13700H) (Xám),Lenovo,Laptop - Máy tính xách tay,21490000,500000,https://lh3.googleusercontent.com/0iaL4l_UyIVo4EufzyhuG8K7Ip-iqg-PBkOo-f3Wk_eRT0HJAzrEhwjolTODA7Wr_yhpaxMSMHmg9YmxlPCPKTl-uaKN6d6P
